sample,env1,env2,sequence,description,run,location,lat,lon,total_reads,mapped_reads,OTU_number,otu_diversity,otu_mapped,otu_abun,lat_lon1
1034.CHA11,Free-living,Non-saline,16S rRNA,"soil metagenome,Bg",ERP016735,GAZ:Russia,69.438,161.71,V4,soil metagenome,tundra biome,9,Soil (non-saline),0,69.438###161.71
1034.CHB10,Free-living,Non-saline,16S rRNA,"soil metagenome,OA",ERP016735,GAZ:Russia,69.435,161.714,V4,soil metagenome,tundra biome,7,Soil (non-saline),0,69.435###161.714
1034.CHB2,Free-living,Non-saline,16S rRNA,"soil metagenome,Bg2",ERP016735,GAZ:Russia,69.435,161.714,V4,soil metagenome,tundra biome,12,Soil (non-saline),0,69.435###161.714
1034.CHB6,Free-living,Non-saline,16S rRNA,"soil metagenome,AB",ERP016735,GAZ:Russia,69.435,161.714,V4,soil metagenome,tundra biome,8,Soil (non-saline),0,69.435###161.714
1034.CHB7,Free-living,Non-saline,16S rRNA,"soil metagenome,O",ERP016735,GAZ:Russia,69.435,161.714,V4,soil metagenome,tundra biome,7,Soil (non-saline),0,69.435###161.714
1034.CHC13,Free-living,Non-saline,16S rRNA,"soil metagenome,ABg",ERP016735,GAZ:Russia,69.434,161.716,V4,soil metagenome,tundra biome,8,Soil (non-saline),0,69.434###161.716
1034.CHC2,Free-living,Non-saline,16S rRNA,"soil metagenome,Ajj (less decomposed)",ERP016735,GAZ:Russia,69.434,161.716,V4,soil metagenome,tundra biome,9,Soil (non-saline),0,69.434###161.716
1034.CHC3,Free-living,Non-saline,16S rRNA,"soil metagenome,Ajj (more decomposed)",ERP016735,GAZ:Russia,69.434,161.716,V4,soil metagenome,tundra biome,5,Soil (non-saline),0,69.434###161.716
1034.CHD10,Free-living,Non-saline,16S rRNA,"soil metagenome,Oa",ERP016735,GAZ:Russia,69.446,161.752,V4,soil metagenome,tundra biome,7,Soil (non-saline),0,69.446###161.752
1034.CHD11,Free-living,Non-saline,16S rRNA,"soil metagenome,Upper permafrost 0-30 cm (under depression), 40 cm beyond surface",ERP016735,GAZ:Russia,69.446,161.752,V4,soil metagenome,tundra biome,8,Soil (non-saline),0,69.446###161.752
1034.CHD9,Free-living,Non-saline,16S rRNA,"soil metagenome,Oe",ERP016735,GAZ:Russia,69.446,161.752,V4,soil metagenome,tundra biome,7,Soil (non-saline),0,69.446###161.752
1034.CHF10,Free-living,Non-saline,16S rRNA,"soil metagenome, AB",ERP016735,GAZ:Russia,69.44242,161.7559,V4,soil metagenome,tundra biome,8,Soil (non-saline),0,69.44242###161.7559
1034.CHF11,Free-living,Non-saline,16S rRNA,"soil metagenome, Bg2",ERP016735,GAZ:Russia,69.44242,161.7559,V4,soil metagenome,tundra biome,12,Soil (non-saline),0,69.44242###161.7559
1034.CHF2,Free-living,Non-saline,16S rRNA,"soil metagenome,Ajj (less decomposed)",ERP016735,GAZ:Russia,69.442,161.756,V4,soil metagenome,tundra biome,6,Soil (non-saline),0,69.442###161.756
1034.CHF5,Free-living,Non-saline,16S rRNA,"soil metagenome,Oa",ERP016735,GAZ:Russia,69.442,161.756,V4,soil metagenome,tundra biome,5,Soil (non-saline),0,69.442###161.756
1034.CHF6,Free-living,Non-saline,16S rRNA,"soil metagenome,Oe (under moss, vaccinium, ledum)",ERP016735,GAZ:Russia,69.442,161.756,V4,soil metagenome,tundra biome,10,Soil (non-saline),0,69.442###161.756
1034.CHF7,Free-living,Non-saline,16S rRNA,"soil metagenome, Oe (under tussock)",ERP016735,GAZ:Russia,69.44242,161.7559,V4,soil metagenome,tundra biome,7,Soil (non-saline),0,69.44242###161.7559
1034.CHG3,Free-living,Non-saline,16S rRNA,"soil metagenome, Ajj (under frostboil)",ERP016735,GAZ:Russia,68.74776,161.59458,V4,soil metagenome,tundra biome,4,Soil (non-saline),0,68.74776###161.59458
1034.CHI2,Free-living,Non-saline,16S rRNA,"soil metagenome, Ajj (well decomposed, under rim of frost boil)",ERP016735,GAZ:Russia,68.74792,161.60118,V4,soil metagenome,tundra biome,5,Soil (non-saline),0,68.74792###161.60118
1034.CHI4,Free-living,Non-saline,16S rRNA,"soil metagenome, Ajj (in depression)",ERP016735,GAZ:Russia,68.74792,161.60118,V4,soil metagenome,tundra biome,9,Soil (non-saline),0,68.74792###161.60118
1034.ZKA2,Free-living,Non-saline,16S rRNA,"soil metagenome, OA",ERP016735,GAZ:Greenland,74.48202,-20.53167,V4,soil metagenome,tundra biome,6,Soil (non-saline),0,74.48202###-20.53167
1034.ZKA4,Free-living,Non-saline,16S rRNA,"soil metagenome, Cryoturbated",ERP016735,GAZ:Greenland,74.48202,-20.53167,V4,soil metagenome,tundra biome,6,Soil (non-saline),0,74.48202###-20.53167
1034.ZKB1,Free-living,Non-saline,16S rRNA,"soil metagenome, OA",ERP016735,GAZ:Greenland,74.48197,-20.53207,V4,soil metagenome,tundra biome,6,Soil (non-saline),0,74.48197###-20.53207
1034.ZKD2,Free-living,Non-saline,16S rRNA,"soil metagenome, B",ERP016735,GAZ:Greenland,74.48039,-20.55733,V4,soil metagenome,tundra biome,8,Soil (non-saline),0,74.48039###-20.55733
1034.ZKE4,Free-living,Non-saline,16S rRNA,"soil metagenome, Permafrost B",ERP016735,GAZ:Greenland,74.48,-20.557,V4,soil metagenome,tundra biome,12,Soil (non-saline),0,74.48###-20.557
1034.ZKH2,Free-living,Non-saline,16S rRNA,"soil metagenome, O",ERP016735,GAZ:Greenland,74.46262,-20.54638,V4,soil metagenome,tundra biome,9,Soil (non-saline),0,74.46262###-20.54638
1034.ZKH4,Free-living,Non-saline,16S rRNA,"soil metagenome, Permafrost B",ERP016735,GAZ:Greenland,74.46254,-20.54588,V4,soil metagenome,tundra biome,25,Soil (non-saline),0,74.46254###-20.54588
1035.UQ040,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.014,164.031,V4,soil metagenome,polar desert biome,4,Soil (non-saline),0,-78.014###164.031
1035.UQ089,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.023,164.094,V4,soil metagenome,polar desert biome,1,Soil (non-saline),0,-78.023###164.094
1035.UQ11007,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.152,163.816,V4,soil metagenome,polar desert biome,1,Soil (non-saline),0,-78.152###163.816
1035.UQ11012,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.139,163.774,V4,soil metagenome,polar desert biome,3,Soil (non-saline),0,-78.139###163.774
1035.UQ11017,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.151,163.768,V4,soil metagenome,polar desert biome,0,Soil (non-saline),0,-78.151###163.768
1035.UQ11108.1.6,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.141,163.73,V4,soil metagenome,polar desert biome,4,Soil (non-saline),0,-78.141###163.73
1035.UQ11126.0.3,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.122,163.671,V4,soil metagenome,polar desert biome,2,Soil (non-saline),0,-78.122###163.671
1035.UQ134,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.031,163.717,V4,soil metagenome,polar desert biome,0,Soil (non-saline),0,-78.031###163.717
1035.UQ223,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.047,164.011,V4,soil metagenome,polar desert biome,10,Soil (non-saline),0,-78.047###164.011
1035.UQ291,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.058,163.822,V4,soil metagenome,polar desert biome,1,Soil (non-saline),0,-78.058###163.822
1035.UQ302,Host-associated,Animal,16S rRNA,carcass,ERP021864,GAZ:Antarctica,-78.056,163.733,V4,organismal metagenomes,polar desert biome,5,Animal corpus,0,-78.056###163.733
1035.UQ311,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.061,164.053,V4,soil metagenome,polar desert biome,1,Soil (non-saline),0,-78.061###164.053
1035.UQ361,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.066,163.766,V4,soil metagenome,polar desert biome,5,Soil (non-saline),0,-78.066###163.766
1035.UQ382,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.07,163.765,V4,soil metagenome,polar desert biome,5,Soil (non-saline),0,-78.07###163.765
1035.UQ405,Host-associated,Animal,16S rRNA,carcass,ERP021864,GAZ:Antarctica,-78.068,164.01,V4,organismal metagenomes,polar desert biome,3,Animal corpus,0,-78.068###164.01
1035.UQ422,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.074,163.786,V4,soil metagenome,polar desert biome,0,Soil (non-saline),0,-78.074###163.786
1035.UQ510,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.092,164.3,V4,soil metagenome,polar desert biome,1,Soil (non-saline),0,-78.092###164.3
1035.UQ599,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.119,163.707,V4,soil metagenome,polar desert biome,0,Soil (non-saline),0,-78.119###163.707
1035.UQ832,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.047,164.067,V4,soil metagenome,polar desert biome,0,Soil (non-saline),0,-78.047###164.067
1035.UQ845,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.058,163.847,V4,soil metagenome,polar desert biome,1,Soil (non-saline),0,-78.058###163.847
1035.UQ856,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.073,163.792,V4,soil metagenome,polar desert biome,3,Soil (non-saline),0,-78.073###163.792
1035.UQ858,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.074,163.892,V4,soil metagenome,polar desert biome,8,Soil (non-saline),0,-78.074###163.892
1035.UQ862,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.075,164.102,V4,soil metagenome,polar desert biome,0,Soil (non-saline),0,-78.075###164.102
1035.UQ863,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.078,164.129,V4,soil metagenome,polar desert biome,2,Soil (non-saline),0,-78.078###164.129
1035.UQ866,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.079,164.115,V4,soil metagenome,polar desert biome,5,Soil (non-saline),0,-78.079###164.115
1035.UQ867,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.078,164.121,V4,soil metagenome,polar desert biome,2,Soil (non-saline),0,-78.078###164.121
1035.UQ870,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.078,164.093,V4,soil metagenome,polar desert biome,4,Soil (non-saline),0,-78.078###164.093
1035.UQ872,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.083,164.12,V4,soil metagenome,polar desert biome,0,Soil (non-saline),0,-78.083###164.12
1035.UQ878,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.087,164.084,V4,soil metagenome,polar desert biome,0,Soil (non-saline),0,-78.087###164.084
1035.UQ888,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.135,164.131,V4,soil metagenome,polar desert biome,0,Soil (non-saline),0,-78.135###164.131
1035.UQ892,Free-living,Non-saline,16S rRNA,antarctic sand,ERP021864,GAZ:Antarctica,-78.047,163.704,V4,soil metagenome,polar desert biome,1,Soil (non-saline),0,-78.047###163.704
1036.A.Ac.2.1.s.4.1.sequences,Free-living,Non-saline,16S rRNA,soil metagenome A_Ac_2_1,ERP016588,GAZ:United States of America,64.49,-157.75,V4,soil metagenome,tundra biome,10,Soil (non-saline),0,64.49###-157.75
